employee_id,name,trade,nationality,date_of_birth,mobile_number,home_phone_number,email_id,company_id,company_name
EMP001,Michael Miles,Welder,Pakistani,1984-02-21,+1-506-694-1502x1141,+1-453-431-0268x4361,nterry@blankenship.info,7,CUBS CONTRACTING AND SERVICES W.L.L
EMP002,Colleen Torres,Plumber,Bangladeshi,1998-11-04,417.789.5249,676.360.4616x97541,glovercorey@yahoo.com,9,AL HANA TOURS
EMP003,Anna Romero,Plumber,Filipino,1978-08-19,001-393-628-9392x274,001-280-698-9213x89333,karenhernandez@gmail.com,4,FLUID ENGINEERING SERVICES LLC
EMP004,Laurie Howard,Welder,Indian,1982-05-18,+1-640-248-1416,0917660880,meghanriley@english-jenkins.com,2,GOLDENCUBS GENERAL CONTRACTING LLC
EMP005,Jeremy Anderson,Plumber,Indian,1983-05-15,(563)078-5773,+1-434-533-1506x36748,john56@taylor-jenkins.com,3,AL ASHBAL ELECTROMECHANICAL CONTRACTING LLC
EMP006,Gail Gomez,Welder,Filipino,1983-05-14,+1-653-317-2672,886-491-3907x118,natkins@yahoo.com,6,RUKIN AL ASHBAL SANITARY CONT
EMP007,Brooke Lewis,Driver,Nepali,1998-07-02,(668)037-0184x0459,555.104.6024,mboone@yahoo.com,6,RUKIN AL ASHBAL SANITARY CONT
EMP008,Christina Smith,Carpenter,Nepali,1985-05-29,389-272-7658,171.787.4240,zcarney@hutchinson.com,8,AL MACEN TRADING & CONTRACTING W.L.L.
EMP009,Thomas Patrick,Driver,Filipino,2003-04-08,(896)179-0307x106,(924)314-5766x4392,beckamanda@velazquez-moore.com,3,AL ASHBAL ELECTROMECHANICAL CONTRACTING LLC
EMP010,Christopher Cruz,Carpenter,Indian,1994-05-06,(561)954-1092,448-267-3576,mary74@morgan.com,6,RUKIN AL ASHBAL SANITARY CONT
EMP011,Melissa Wilson,Driver,Filipino,1982-04-09,247-639-4957x763,248.695.1682x0330,williamskaren@gmail.com,3,AL ASHBAL ELECTROMECHANICAL CONTRACTING LLC
EMP012,Carol Stewart,Painter,Indian,2002-06-30,133-653-3154x814,+1-236-558-1615x21129,carterricardo@peterson-cardenas.biz,4,FLUID ENGINEERING SERVICES LLC
EMP013,Bryan Walter,Carpenter,Bangladeshi,1993-10-16,360-894-8701x13538,282-231-3129x201,debra25@quinn-carpenter.com,8,AL MACEN TRADING & CONTRACTING W.L.L.
EMP014,Kim Madden,Welder,Bangladeshi,1985-07-15,001-655-860-5231x581,487.444.7471x203,cmoss@hotmail.com,4,FLUID ENGINEERING SERVICES LLC
EMP015,Victoria Davis,Welder,Filipino,2002-02-08,(641)187-9327x486,+1-798-928-5015,carpentermartin@garrett-walker.biz,8,AL MACEN TRADING & CONTRACTING W.L.L.
EMP016,Christopher Smith,Welder,Pakistani,1981-05-31,+1-618-852-5869,001-972-473-4174,estradatiffany@gmail.com,1,CUBS TECH CONTRACTING
EMP017,Alicia Johnson,Plumber,Bangladeshi,1996-01-15,488-183-3006,(773)262-5060x7193,smithmichelle@hotmail.com,9,AL HANA TOURS
EMP018,Jason Thompson,Plumber,Nepali,1974-07-22,(791)226-3756x388,211-175-6302x950,carlos11@barnes.net,9,AL HANA TOURS
EMP019,Danielle Willis,Carpenter,Bangladeshi,1991-12-08,+1-843-036-9410x831,0759634160,lmarquez@hotmail.com,5,ASHBAL AL KHALEEJ CONCRETE CARPENTER CONT
EMP020,Elizabeth Ali,Driver,Nepali,1997-12-10,308.092.6878x76938,+1-037-209-2585x4102,elizabeth08@gmail.com,5,ASHBAL AL KHALEEJ CONCRETE CARPENTER CONT
EMP021,Bryan Pineda,Driver,Nepali,1993-06-28,0260890588,001-872-739-4562x0773,cookedward@craig.info,9,AL HANA TOURS
EMP022,Donna Christensen,Painter,Bangladeshi,2001-05-02,001-519-820-0562x149,676-602-6325x98653,kimberly16@hotmail.com,4,FLUID ENGINEERING SERVICES LLC
EMP023,Steven Wells,Plumber,Nepali,1996-10-06,+1-920-519-3241x56986,001-648-077-1483x1364,dorothybrown@hotmail.com,1,CUBS TECH CONTRACTING
EMP024,Johnathan Sandoval,Driver,Filipino,1997-06-12,(496)088-7874,9457333974,gonzalezandre@yahoo.com,8,AL MACEN TRADING & CONTRACTING W.L.L.
EMP025,Luke Hale,Driver,Nepali,1977-11-08,(843)381-2851,+1-385-771-6859x9312,pwilliams@tran.biz,7,CUBS CONTRACTING AND SERVICES W.L.L
EMP026,Austin Stanley,Carpenter,Pakistani,1992-06-01,+1-209-044-0015,+1-064-947-1045x121,angelaspencer@hotmail.com,3,AL ASHBAL ELECTROMECHANICAL CONTRACTING LLC
EMP027,Crystal Maldonado,Plumber,Indian,1981-07-04,274-093-6579,861-239-0294,hartvictoria@lee.com,1,CUBS TECH CONTRACTING
EMP028,Joseph Mayer,Painter,Filipino,1981-08-30,543.266.6744,522.334.3128,kenneth92@hotmail.com,5,ASHBAL AL KHALEEJ CONCRETE CARPENTER CONT
EMP029,Samantha Aguilar,Driver,Nepali,1998-06-20,001-255-506-4709,001-040-404-3370,frankmaynard@meyers.com,9,AL HANA TOURS
EMP030,Alexander Cox,Painter,Pakistani,1987-03-17,334.620.2008x36008,(044)842-1138,jacksonnicholas@rocha.com,7,CUBS CONTRACTING AND SERVICES W.L.L
